cod_cliente,primeiro_nome,ultimo_nome,email,tipo_cliente,data_inclusao,cpfcnpj,data_nascimento,endereco,cep,idade,estado,cod_proposta,cod_colaborador,data_entrada_proposta,taxa_juros_mensal,valor_proposta,valor_financiamento,valor_entrada,valor_prestacao,quantidade_parcelas,carencia,status_proposta
28,Sabrina,Dias,moreiraemanuelly@example.org,PF,2017-04-03 16:11:00 UTC,357.081.496-39,2006-08-11,Praia de Duarte Vila Piratininga 81327-166 Fernandes das Pedras / SP,95140-704,19,SP,483,17,2015-04-03 04:34:11+00:00,0.01,13056.94,18009.22,4952.28,285.16,63,3,Enviada
28,Sabrina,Dias,moreiraemanuelly@example.org,PF,2017-04-03 16:11:00 UTC,357.081.496-39,2006-08-11,Praia de Duarte Vila Piratininga 81327-166 Fernandes das Pedras / SP,95140-704,19,SP,210,73,2010-09-02 22:06:54+00:00,0.02,68031.96,110541.92,42509.96,1910.89,67,6,Enviada
28,Sabrina,Dias,moreiraemanuelly@example.org,PF,2017-04-03 16:11:00 UTC,357.081.496-39,2006-08-11,Praia de Duarte Vila Piratininga 81327-166 Fernandes das Pedras / SP,95140-704,19,SP,1673,87,2018-05-30 16:04:13+00:00,0.01,139839.83,240449.39,100609.56,2861.30,79,5,Aprovada
674,Luiz Felipe,Dias,pedroferreira@example.org,PF,2021-02-10 13:27:00 UTC,085.196.374-93,1995-10-11,"Avenida da Rosa, 654 João Paulo Ii 20295449 Nunes / AP",76516-765,30,AP,895,29,2020-07-24 15:00:23+00:00,0.02,94843.85,140271.31,45427.46,2363.48,89,1,Enviada
674,Luiz Felipe,Dias,pedroferreira@example.org,PF,2021-02-10 13:27:00 UTC,085.196.374-93,1995-10-11,"Avenida da Rosa, 654 João Paulo Ii 20295449 Nunes / AP",76516-765,30,AP,910,34,2022-04-23 03:15:25+00:00,0.02,15301.50,19535.75,4234.25,4053.71,4,3,Aprovada
674,Luiz Felipe,Dias,pedroferreira@example.org,PF,2021-02-10 13:27:00 UTC,085.196.374-93,1995-10-11,"Avenida da Rosa, 654 João Paulo Ii 20295449 Nunes / AP",76516-765,30,AP,645,99,2012-08-22 08:52:00+00:00,0.02,150015.05,178999.79,28984.74,3768.21,67,3,Em análise
674,Luiz Felipe,Dias,pedroferreira@example.org,PF,2021-02-10 13:27:00 UTC,085.196.374-93,1995-10-11,"Avenida da Rosa, 654 João Paulo Ii 20295449 Nunes / AP",76516-765,30,AP,1231,97,2016-02-07 20:39:14+00:00,0.02,38157.03,65989.60,27832.57,6908.88,6,4,Validação documentos
693,Renan,Dias,ogomes@example.net,PF,2020-01-21 13:12:00 UTC,783.416.059-10,1948-11-19,Jardim de Rodrigues Ipiranga 14161-477 Duarte da Praia / RN,51779625,77,RN,1662,72,2021-03-14 01:34:29+00:00,0.02,205244.56,247930.69,42686.13,5942.47,59,4,Enviada
693,Renan,Dias,ogomes@example.net,PF,2020-01-21 13:12:00 UTC,783.416.059-10,1948-11-19,Jardim de Rodrigues Ipiranga 14161-477 Duarte da Praia / RN,51779625,77,RN,764,64,2019-06-04 22:03:24+00:00,0.01,94354.88,121454.58,27099.70,2042.71,70,5,Validação documentos
693,Renan,Dias,ogomes@example.net,PF,2020-01-21 13:12:00 UTC,783.416.059-10,1948-11-19,Jardim de Rodrigues Ipiranga 14161-477 Duarte da Praia / RN,51779625,77,RN,533,85,2018-06-12 04:19:20+00:00,0.01,5386.38,7743.10,2356.72,108.66,81,0,Validação documentos
